backbone,method,condition,seed,auc
siglip2-base,sar,motion_blur_1,2024,0.52391161359592
siglip2-base,sar,motion_blur_2,2024,0.5239373139467927
siglip2-base,sar,motion_blur_3,2024,0.4941127265040801
siglip2-base,sar,motion_blur_4,2024,0.49603521633659686
siglip2-base,sar,motion_blur_5,2024,0.525997360487038
siglip2-base,source_only,brightness_1,42,0.797782768035096
siglip2-base,source_only,brightness_2,42,0.7886486061528262
siglip2-base,source_only,brightness_3,42,0.7878415990615413
siglip2-base,source_only,brightness_4,42,0.7793873087961386
siglip2-base,source_only,brightness_5,42,0.7638831658201641
siglip2-base,source_only,gaussian_noise_1,42,0.5406685013330234
siglip2-base,source_only,gaussian_noise_2,42,0.560684096224503
siglip2-base,source_only,gaussian_noise_3,42,0.5910897232363814
siglip2-base,source_only,gaussian_noise_4,42,0.6236536216006748
siglip2-base,source_only,gaussian_noise_5,42,0.6400552319022428
siglip2-base,source_only,jpeg_compression_1,42,0.44566417173398715
siglip2-base,source_only,jpeg_compression_2,42,0.43399265832392975
siglip2-base,source_only,jpeg_compression_3,42,0.4020883338358731
siglip2-base,source_only,jpeg_compression_4,42,0.37317681431395056
siglip2-base,source_only,jpeg_compression_5,42,0.3818211067911388
siglip2-base,source_only,motion_blur_1,42,0.532091719159031
siglip2-base,source_only,motion_blur_2,42,0.5754543816658894
siglip2-base,source_only,motion_blur_3,42,0.548880067054621
siglip2-base,source_only,motion_blur_4,42,0.5436267385235394
siglip2-base,source_only,motion_blur_5,42,0.5977204137615414
siglip2-base,source_only,brightness_1,123,0.801437352571235
siglip2-base,source_only,brightness_2,123,0.7944347302830979
siglip2-base,source_only,brightness_3,123,0.7932229471305349
siglip2-base,source_only,brightness_4,123,0.7834237819719829
siglip2-base,source_only,brightness_5,123,0.7711611962115902
siglip2-base,source_only,gaussian_noise_1,123,0.4802873218743746
siglip2-base,source_only,gaussian_noise_2,123,0.4886161822828079
siglip2-base,source_only,gaussian_noise_3,123,0.5069236280894508
siglip2-base,source_only,gaussian_noise_4,123,0.5733491853778983
siglip2-base,source_only,gaussian_noise_5,123,0.619319495855237
siglip2-base,source_only,jpeg_compression_1,123,0.4488780461532848
siglip2-base,source_only,jpeg_compression_2,123,0.4216313074903433
siglip2-base,source_only,jpeg_compression_3,123,0.42498197957295536
siglip2-base,source_only,jpeg_compression_4,123,0.3701501381070728
siglip2-base,source_only,jpeg_compression_5,123,0.3647118349172085
siglip2-base,source_only,motion_blur_1,123,0.5243321152714742
siglip2-base,source_only,motion_blur_2,123,0.5030747371132005
siglip2-base,source_only,motion_blur_3,123,0.4860984587505791
siglip2-base,source_only,motion_blur_4,123,0.4866217082500185
